#Simulation
#================
#
#SIZE=128
#SPEED=1
#NUM_AGENTS=12
#AGENT_AUDITION30
#AGENT_LEARNING_SPEED=1
#AGENT_SIGHT=40
#FOOD_ADDITION_PER_UNIT=5
#FOOD_MAXRANGE=12
#FOOD_MINRANGE=8
#FOOD_NUM=6
#FOOD_SPEED=30
#ANSWER_SAMPLE=5

id;step;kind;food_0;food_1;food_2;food_3;food_4;food_5
0;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
1;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
2;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
3;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
4;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
5;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
6;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
7;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
8;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
9;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
10;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
11;0;grid;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010
0;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
1;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
2;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
3;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
4;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
5;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
6;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
7;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
8;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
9;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
10;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
11;1;grid;0.0020;0.0020;0.0020;0.0020;0.0020;0.0020
0;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
1;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
2;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
3;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
4;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
5;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
6;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
7;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
8;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
9;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
10;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
11;2;grid;0.0030;0.0030;0.0030;0.0030;0.0030;0.0030
0;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
1;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
2;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
3;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
4;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
5;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
6;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
7;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
8;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
9;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
10;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
11;3;grid;0.0040;0.0040;0.0040;0.0040;0.0040;0.0040
0;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
1;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
2;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
3;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
4;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
5;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
6;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
7;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
8;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
9;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
10;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
11;4;grid;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004;0.0050000004
0;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
1;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
2;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
3;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
4;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
5;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
6;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
7;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
8;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
9;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
10;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
11;5;grid;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005;0.0060000005
0;6;grid;0.0070000007;0.0070000007;0.0070000007;0.0070000007;0.0070000007;0.0070000007
1;6;grid;0.0070000007;0.0070000007;0.0070000007;0.0070000007;0.0070000007;0.0070000007
2;6;grid;0.0070000007;0.0070000007;0.0070000007;0.0070000007;0.0070000007;0.0070000007
3;6;grid;0.0070000007;0.0070000007;0.0070000007;0.0070000007;0.0070000007;0.0070000007
4;6;grid;0.0070000007;0.0070000007;0.0070000007;0.0070000007;0.0070000007;0.0070000007
